strategy,trial_number,proposal_phase,trial_id,epoch,parameter_count,validation_accuracy,validation_loss,train_loss,elapsed_trial_seconds
random,1,random,433f44ff,1,103850,0.4936,1.3883287940979003,1.5954612130694918,52.847158400021726
random,1,random,433f44ff,2,103850,0.5578,1.2584593437194824,1.3033328976737129,106.01513189999969
random,1,random,433f44ff,3,103850,0.5944,1.144780496406555,1.1818869977527195,158.3917362000211
random,1,random,433f44ff,4,103850,0.5504,1.2548638006210326,1.1121135327127245,210.6031886000128
random,1,random,433f44ff,5,103850,0.5626,1.304296572303772,1.05392352265252,261.659327100002
random,1,random,433f44ff,6,103850,0.628,1.028850715446472,1.0085363121880426,312.61043120000977
random,1,random,433f44ff,7,103850,0.6608,0.9586608462333679,0.9649913480546739,363.66736110000056
random,1,random,433f44ff,8,103850,0.643,1.0281403108596803,0.9332731723997328,417.02382990001934
random,1,random,433f44ff,9,103850,0.6074,1.1339620686531067,0.9034247038523356,466.6435843000072
random,1,random,433f44ff,10,103850,0.632,1.0796094425201417,0.8854236704084608,517.3034388000087
random,1,random,433f44ff,11,103850,0.6536,1.0070326466560364,0.8558917073355781,567.5095471000241
random,1,random,433f44ff,12,103850,0.6788,0.9203465758800506,0.8379423824098375,615.9267071000068
random,2,random,4afac393,1,72746,0.6112,1.0836679508209228,1.3808678600841098,19.727296700002626
random,2,random,4afac393,2,72746,0.6558,0.9776698050498962,1.0132077727847628,40.71946059999755
random,2,random,4afac393,3,72746,0.6958,0.8720157577514649,0.895098078113132,62.75906899999245
random,2,random,4afac393,4,72746,0.7158,0.8063466811180114,0.8326744961420695,84.2250090999878
random,2,random,4afac393,5,72746,0.7112,0.8501683229446411,0.7798535047954983,107.60710289998678
random,2,random,4afac393,6,72746,0.7458,0.7218621056556702,0.745781167517768,132.00119189999532
random,2,random,4afac393,7,72746,0.7324,0.8130676825523376,0.7144201761245728,154.70256340000196
random,2,random,4afac393,8,72746,0.757,0.7180690497398377,0.6915346732139588,178.3568338000041
random,2,random,4afac393,9,72746,0.7442,0.7455390791893005,0.6639379446241591,201.07539809998707
random,2,random,4afac393,10,72746,0.754,0.7313214674949646,0.6558426076041327,222.60572699998738
random,2,random,4afac393,11,72746,0.7676,0.6806664744377137,0.6355410480181376,244.1766779999889
random,2,random,4afac393,12,72746,0.7404,0.7763651872634888,0.6189489180352953,264.5948975000065
random,3,random,3e3a160d,1,103338,0.5946,1.1605562973976136,1.3725442374335395,20.32745569999679
random,3,random,3e3a160d,2,103338,0.6442,1.0733733096122742,0.9853602803548177,41.21340810001129
random,3,random,3e3a160d,3,103338,0.67,0.9808841968536377,0.844683304977417,61.50550430000294
random,3,random,3e3a160d,4,103338,0.658,1.0747986708641053,0.7678277775022718,81.76564249998773
random,3,random,3e3a160d,5,103338,0.671,1.035249920797348,0.7166029106458028,102.13938249999774
random,3,random,3e3a160d,6,103338,0.7486,0.7379321093082428,0.6755523564868503,122.93097610000405
random,3,random,3e3a160d,7,103338,0.7156,0.8412766730308533,0.6429193943659465,143.20820140000433
random,3,random,3e3a160d,8,103338,0.7396,0.7991436248302459,0.6182226019276513,163.54663339999388
random,3,random,3e3a160d,9,103338,0.7464,0.7833081075072289,0.5922051942189535,184.031117800012
random,3,random,3e3a160d,10,103338,0.765,0.7215440619707107,0.5796935081905789,204.5518466999929
random,3,random,3e3a160d,11,103338,0.7022,0.9411905635356903,0.5565694270769755,230.96819819998927
random,3,random,3e3a160d,12,103338,0.7658,0.6982595156192779,0.5385949286990696,253.6052452000149
random,4,random,38939f8f,1,24778,0.4304,1.5162833395004272,1.6762905470954048,21.48189779999666
random,4,random,38939f8f,2,24778,0.4968,1.3945006519317626,1.4103317494710286,42.901195000013104
random,4,random,38939f8f,3,24778,0.5378,1.3004339350700378,1.306466821691725,64.0564326000167
random,4,random,38939f8f,4,24778,0.5202,1.3882570280075073,1.2442589844173855,86.35152739999467
random,5,random,fbc1088a,1,46538,0.4894,1.3782463443756103,1.5810338263829549,23.112058400001843
random,5,random,fbc1088a,2,46538,0.4752,1.4200382769584656,1.229371800825331,45.79779700000654
random,5,random,fbc1088a,3,46538,0.5716,1.2416037982940673,1.086090375963847,69.31388619999052
random,5,random,fbc1088a,4,46538,0.5108,1.4487724224090577,1.0100601657973396,91.81054579999181
random,6,random,0e0780b7,1,79242,0.5958,1.1305038681983948,1.3984380573908488,22.941781000001356
random,6,random,0e0780b7,2,79242,0.6418,1.0233598365783692,1.0312581537882486,44.32762949998141
random,6,random,0e0780b7,3,79242,0.6766,0.9115993481636048,0.8875564044952392,65.74175089999335
random,6,random,0e0780b7,4,79242,0.6658,0.990318459892273,0.816199807103475,86.60050369999954
random,6,random,0e0780b7,5,79242,0.691,0.9245559966087341,0.7560802861955431,108.56235289998585
random,6,random,0e0780b7,6,79242,0.758,0.6915692400932312,0.7189023554590013,129.98865489999298
random,6,random,0e0780b7,7,79242,0.7612,0.7098688809394836,0.6895527540948656,151.20440609997604
random,6,random,0e0780b7,8,79242,0.7322,0.7886910833358765,0.6641662583457099,172.28135899998597
random,7,random,0d66d663,1,126890,0.5528,1.26180912065506,1.3770934470176697,21.12677469998016
random,7,random,0d66d663,2,126890,0.593,1.218622381591797,1.0008544436984592,45.52508140000282
random,7,random,0d66d663,3,126890,0.6798,0.9327490092754364,0.8674301204893324,66.59666449998622
random,7,random,0d66d663,4,126890,0.6714,0.9600852029800415,0.7963526536305745,88.80968949999078
random,7,random,0d66d663,5,126890,0.6956,0.8743326238155364,0.7363982117546929,112.09718310000608
random,7,random,0d66d663,6,126890,0.73,0.8027423775672913,0.698847205734253,133.8339158000017
random,7,random,0d66d663,7,126890,0.7644,0.6951741915225983,0.6644773725509644,156.82810319997952
random,7,random,0d66d663,8,126890,0.7506,0.7659821364164352,0.6390226200315687,176.9091741000011
random,7,random,0d66d663,9,126890,0.7452,0.7625925950527191,0.6147763278219435,197.85531849999097
random,7,random,0d66d663,10,126890,0.7284,0.8207949749946595,0.5995163817723592,219.81495050000376
random,7,random,0d66d663,11,126890,0.7352,0.8274044382572174,0.5800678704791599,241.10672829998657
random,7,random,0d66d663,12,126890,0.7398,0.7919169174671173,0.563815951845381,261.9956898999808
random,8,random,02b21540,1,11082,0.4488,1.5196834774017334,1.7141689647886489,21.281823299999814
random,8,random,02b21540,2,11082,0.5116,1.3814224174499512,1.429323387781779,41.911225499992725
random,8,random,02b21540,3,11082,0.5294,1.3283757472991944,1.3311393875545925,62.987519099988276
random,8,random,02b21540,4,11082,0.519,1.3571763343811034,1.2777440093994141,83.6701311999932
random,9,random,5da1d897,1,181610,0.488,1.4035493099212646,1.4979454333835178,20.663970200024778
random,9,random,5da1d897,2,181610,0.5876,1.1616647985458375,1.1378776542663573,41.72008680002182
random,9,random,5da1d897,3,181610,0.612,1.069259764766693,0.9683262735578749,62.502791700011585
random,9,random,5da1d897,4,181610,0.6566,0.9716018423080445,0.8703623564508226,83.94782010000199
random,9,random,5da1d897,5,181610,0.6132,1.2524107281684875,0.7935540257241991,105.34043229999952
random,9,random,5da1d897,6,181610,0.7326,0.7438389972686767,0.7392619083828397,127.53800270002102
random,9,random,5da1d897,7,181610,0.7186,0.8245259242057801,0.7000559762530857,148.98994970001513
random,9,random,5da1d897,8,181610,0.7312,0.787352681684494,0.6609636250283983,169.79838420002488
random,10,random,2fa5a6a9,1,77034,0.6146,1.0951641239166259,1.3994543653912015,19.42891879999661
random,10,random,2fa5a6a9,2,77034,0.6634,0.9595991564750671,1.037521960067749,39.23368629999459
random,10,random,2fa5a6a9,3,77034,0.706,0.8616980682373047,0.9050623835245768,58.70947269999306
random,10,random,2fa5a6a9,4,77034,0.7218,0.7957879328250885,0.8248294694794549,76.77724470000248
random,10,random,2fa5a6a9,5,77034,0.737,0.7449711760044098,0.7705242786089579,95.08815189998131
random,10,random,2fa5a6a9,6,77034,0.7484,0.7185376989364624,0.732870941374037,121.50221320000128
random,10,random,2fa5a6a9,7,77034,0.7342,0.7980256195068359,0.7044751977496677,173.15132430000813
random,10,random,2fa5a6a9,8,77034,0.7758,0.6528074191570282,0.6768187906212277,223.72701329999836
random,10,random,2fa5a6a9,9,77034,0.783,0.6392278050422668,0.660029273806678,276.04501669999445
random,10,random,2fa5a6a9,10,77034,0.7822,0.6321015868186951,0.6419383403778076,326.948679299996
random,10,random,2fa5a6a9,11,77034,0.7872,0.6381082749843597,0.6244406631045871,377.21372979998705
random,10,random,2fa5a6a9,12,77034,0.7626,0.7165882121562958,0.6126086675643921,427.9532010999974
random,11,random,255a324f,1,65866,0.5824,1.1397547830581665,1.4081128992504544,50.758574999985285
random,11,random,255a324f,2,65866,0.6496,1.000379573726654,1.0369807587305704,102.34182219998911
random,11,random,255a324f,3,65866,0.6846,0.8958125156402588,0.9063728041330973,152.25494769998477
random,11,random,255a324f,4,65866,0.7084,0.8346582363128662,0.8383145462989807,204.06536989999586
random,11,random,255a324f,5,65866,0.6926,0.9230807865142823,0.7835403966267903,255.36997119997977
random,11,random,255a324f,6,65866,0.747,0.7368598459243775,0.7511651785744561,306.68795419999515
random,11,random,255a324f,7,65866,0.7162,0.8639068663597107,0.7189887845993042,358.2125276000006
random,11,random,255a324f,8,65866,0.757,0.7141983876228333,0.6928461082511478,410.27983620000305
random,11,random,255a324f,9,65866,0.7706,0.6907599245548248,0.6732503837373521,461.9687983999902
random,11,random,255a324f,10,65866,0.7758,0.6628337124824524,0.6618237782372369,512.5298486999818
random,11,random,255a324f,11,65866,0.754,0.7374900289535522,0.6415621377627054,564.4113124999858
random,11,random,255a324f,12,65866,0.7696,0.686287863445282,0.6244056500328912,616.9751422999834
random,12,random,0e549372,1,99146,0.6162,1.0808213245391847,1.38810988667806,50.525519000017084
random,12,random,0e549372,2,99146,0.6662,0.9458570571899414,1.0113629855685764,102.59742410000763
random,12,random,0e549372,3,99146,0.678,0.898951301908493,0.8871420231289334,155.34690940001747
random,12,random,0e549372,4,99146,0.7266,0.7842499899864197,0.8183887707922194,207.37746160000097
random,12,random,0e549372,5,99146,0.7032,0.8972108446121215,0.7641077160305447,258.8987807999947
random,12,random,0e549372,6,99146,0.7464,0.7307398196220398,0.7251494656456842,313.0683609000116
random,12,random,0e549372,7,99146,0.7472,0.7129937886238098,0.6969815676371256,365.19009770001867
random,12,random,0e549372,8,99146,0.767,0.6688264005661011,0.6702032357003954,417.2330653000099
random,12,random,0e549372,9,99146,0.785,0.6383668976783753,0.6519238685290019,469.24006609999924
random,12,random,0e549372,10,99146,0.7732,0.6614563205003738,0.6316243548711141,522.4697751000058
random,12,random,0e549372,11,99146,0.771,0.6819780353546142,0.6193033645788828,574.7317496000032
random,12,random,0e549372,12,99146,0.7744,0.653252085351944,0.6031549694591098,626.7917904000205
random,13,random,2adc94eb,1,12170,0.4424,1.512222805595398,1.7367585447099474,50.27029039998888
random,13,random,2adc94eb,2,12170,0.4758,1.425895746421814,1.4341137669033475,101.18376389998593
random,13,random,2adc94eb,3,12170,0.5488,1.2763332809448242,1.3324128471798367,120.61530529998709
random,13,random,2adc94eb,4,12170,0.5372,1.2873806339263916,1.2698789023293389,139.98250429998734
random,14,random,01bea5c1,1,25194,0.492,1.372140841293335,1.5779390115949843,17.523601499997312
random,14,random,01bea5c1,2,25194,0.5738,1.2000383701324462,1.2481156830681694,36.05611829998088
random,14,random,01bea5c1,3,25194,0.5914,1.1863261726379395,1.1290114359961616,54.52939399998286
random,14,random,01bea5c1,4,25194,0.6272,1.0790951422214508,1.062588837093777,73.24227439999231
random,15,random,d4eb4ab4,1,39594,0.4518,1.496477921485901,1.697002819718255,18.270822799997404
random,15,random,d4eb4ab4,2,39594,0.485,1.3839129409790039,1.3839170207977296,37.87556330001098
random,15,random,d4eb4ab4,3,39594,0.485,1.4900708934783935,1.2692975036621095,57.441978899994865
random,15,random,d4eb4ab4,4,39594,0.5556,1.2583643314361572,1.2021180201954311,77.06039620001684
random,16,random,acd13a07,1,181098,0.55,1.2451301639556884,1.439780683708191,19.24080399997183
random,16,random,acd13a07,2,181098,0.6174,1.0776862413406372,1.0634939604865181,39.71451629998046
random,16,random,acd13a07,3,181098,0.6652,0.9587926113128662,0.9063314653608534,61.886761499976274
random,16,random,acd13a07,4,181098,0.6856,0.8987008458137512,0.8212391544977824,83.5449311999837
random,16,random,acd13a07,5,181098,0.687,0.9198878018379212,0.7540432932535808,104.0971418999834
random,16,random,acd13a07,6,181098,0.7266,0.7887258669853211,0.7045281634012858,125.53518269999768
